2017-07-02 22:49:22,932 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' /home/manish/Desktop/SpringWorkspace/SpringMvcSample/SpringMvcSample/pom.xml
2017-07-02 22:49:28,241 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.personal.SpringMvc:SpringMvcSample:0.0.1-SNAPSHOT @ /home/manish/Desktop/SpringWorkspace/SpringMvcSample/SpringMvcSample/pom.xml.
2017-07-02 22:49:30,335 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMvcSample/src/main/java
2017-07-02 22:49:30,336 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /SpringMvcSample/src/main/resources
2017-07-02 22:49:30,338 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /SpringMvcSample/src/test/java
2017-07-02 22:49:36,961 [Worker-4] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 13 sec
2017-07-02 22:49:38,964 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:49:39,002 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-02 22:49:39,009 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:49:39,009 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manish/Desktop/SpringWorkspace/SpringMvcSample/SpringMvcSample/src/test/resources
2017-07-02 22:52:42,835 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:52:42,855 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-02 22:52:42,858 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:52:42,860 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manish/Desktop/SpringWorkspace/SpringMvcSample/SpringMvcSample/src/test/resources
2017-07-02 22:52:43,967 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:52:43,968 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-02 22:52:43,970 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:52:43,971 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manish/Desktop/SpringWorkspace/SpringMvcSample/SpringMvcSample/src/test/resources
2017-07-02 22:53:06,746 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:53:06,747 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-02 22:53:06,750 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-02 22:53:06,752 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/manish/Desktop/SpringWorkspace/SpringMvcSample/SpringMvcSample/src/test/resources
2017-07-02 22:57:14,187 [Worker-25] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.sdafd:aasnjsdn:0.0.1-SNAPSHOT @ /home/manish/Desktop/SpringWorkspace/SpringMvcSample/aasnjsdn/pom.xml.
